Temperature (C),Humidity,Wind Speed (km/h),Pressure (millibars)
9.472222222222221,0.89,14.1197,1015.13
9.355555555555558,0.86,14.2646,1015.63
9.377777777777778,0.89,3.9284,1015.94
8.28888888888889,0.83,14.1036,1016.41
8.755555555555553,0.83,11.0446,1016.51
9.222222222222221,0.85,13.9587,1016.66
7.733333333333332,0.95,12.3648,1016.72
8.77222222222222,0.89,14.1519,1016.84
10.822222222222221,0.82,11.3183,1017.37
13.77222222222222,0.72,12.525800000000002,1017.22
16.016666666666666,0.67,17.5651,1017.42
17.144444444444446,0.54,19.7869,1017.74
17.800000000000004,0.55,21.9443,1017.59
17.333333333333332,0.51,20.6885,1017.48
18.87777777777778,0.47,15.375500000000002,1017.17
18.911111111111115,0.46,10.4006,1016.47
15.388888888888893,0.6,14.4095,1016.15
15.550000000000002,0.63,11.1573,1016.17
14.255555555555553,0.69,8.5169,1015.82
13.144444444444444,0.7,7.631400000000001,1015.83
11.55,0.77,7.3899,1015.85
11.183333333333335,0.76,4.9266000000000005,1015.77
10.116666666666667,0.79,6.6493,1015.4
10.2,0.77,3.9284,1015.51
10.42222222222222,0.62,16.985500000000002,1014.4
9.911111111111113,0.66,17.2109,1014.2
11.183333333333335,0.8,10.8192,1008.71
7.155555555555559,0.79,11.0768,1014.47
6.1111111111111125,0.82,6.6493,1014.45
6.788888888888887,0.83,13.0088,1014.49
7.26111111111111,0.85,11.1734,1014.52
7.799999999999999,0.83,12.8156,1014.16
9.872222222222225,0.78,13.7494,1014.24
12.222222222222221,0.72,15.633100000000002,1014.25
15.094444444444447,0.61,17.549000000000003,1013.96
17.355555555555554,0.52,22.7815,1013.85
19.00555555555555,0.46,23.8924,1013.04
20.04444444444444,0.4,28.3682,1012.22
21.05,0.4,26.9031,1011.44
21.183333333333326,0.37,25.6956,1010.52
20.11666666666666,0.4,25.309200000000004,1009.83
20.216666666666665,0.36,18.1125,1009.26
20.0,0.43,23.425500000000003,1008.76
17.800000000000004,0.5,20.0445,1008.36
16.06111111111111,0.53,21.3969,1008.11
15.02222222222222,0.55,21.3808,1008.15
14.422222222222226,0.58,20.0123,1007.85
14.255555555555553,0.59,16.5025,1007.89
13.77222222222222,0.6,17.0982,1007.36
13.283333333333333,0.63,14.3612,1007.26
8.633333333333333,0.87,22.0409,1005.1
11.25,0.83,11.3344,1007.01
11.183333333333335,0.89,11.2056,1006.73
10.694444444444443,0.95,10.4006,1006.59
11.111111111111107,0.93,12.0106,1006.34
11.111111111111107,0.93,9.2092,1006.09
12.166666666666664,0.82,9.9015,1005.97
12.755555555555556,0.79,13.8299,1005.63
13.838888888888887,0.84,9.0965,1005.83
16.183333333333334,0.73,0.6440000000000001,1005.97
17.516666666666666,0.67,0.6762,1005.64
17.383333333333333,0.67,3.864,1005.2
17.36111111111111,0.71,7.824600000000001,1005.1
17.205555555555556,0.74,15.5848,1004.65
15.633333333333333,0.81,23.6992,1004.04
13.577777777777774,0.9,20.9622,1004.08
10.911111111111113,0.86,22.39510000000001,1004.61
8.800000000000002,0.99,26.5006,1004.99
8.961111111111112,0.93,23.2162,1004.85
8.199999999999998,0.96,25.4219,1004.96
7.688888888888893,0.96,28.1267,1005.14
7.766666666666664,0.96,19.2878,1005.05
8.199999999999998,0.96,20.447,1004.8
8.177777777777777,0.93,27.8691,1004.89
7.311111111111106,0.82,6.745900000000002,1007.0
7.644444444444442,0.93,14.9086,1004.3
6.622222222222224,0.93,25.03550000000001,1003.68
6.683333333333334,0.93,19.8352,1003.86
6.0888888888888895,0.93,28.0945,1003.57
6.066666666666667,0.93,27.9818,1003.96
